1,3,1,14,70
1,3,1,35,148
1,1,1,37,79
0,2,1,37,58
1,1,1,56,137
2,3,1,56,113
1,1,1,86,176
0,2,1,96,74
0,3,1,96,94
2,1,1,96,214
0,2,1,98,39
1,3,1,100,86
0,2,1,102,35
2,1,1,104,189
2,1,1,106,131
0,2,1,108,130
1,3,1,108,101
0,2,1,112,67
1,3,1,130,67
0,2,1,140,42
0,3,1,156,72
0,3,1,158,83
1,3,1,162,142
0,2,1,162,29
0,2,1,162,40
1,3,1,164,192
0,2,1,178,51
0,3,1,192,93
0,2,1,207,44
0,2,1,216,39
0,2,1,222,23
1,3,1,223,82
1,3,1,223,101
1,3,1,224,88
0,2,1,224,39
1,3,1,233,121
0,2,1,236,55
1,3,1,245,91
0,2,1,246,50
0,2,1,246,50
1,3,1,247,102
0,2,1,252,42
1,3,1,262,53
0,2,1,266,86
0,2,1,267,72
1,1,1,269,94
0,2,1,270,57
0,2,1,270,64
0,2,1,278,48
0,2,1,278,43
1,3,1,281,62
2,1,1,281,187
0,2,1,284,45
0,3,1,284,108
0,3,1,288,96
0,3,1,294,70
0,2,1,294,46
1,3,1,295,48
1,3,1,302,209
0,2,1,306,36
0,2,1,308,64
0,2,1,309,53
0,2,1,310,46
0,2,1,317,46
0,2,1,322,40
1,1,1,327,66
0,2,1,329,32
0,3,1,330,168
0,2,1,332,55
0,2,1,337,51
0,2,1,338,61
0,2,1,338,52
0,2,1,339,91
0,2,1,342,59
0,2,1,343,83
0,2,1,344,66
0,2,1,354,66
1,1,1,355,87
0,2,1,356,46
0,2,1,357,37
0,2,1,359,45
0,3,1,368,86
2,1,1,371,160
0,2,1,372,59
1,1,1,372,170
0,2,1,373,36
1,3,1,374,145
0,2,1,376,59
0,2,1,376,54
0,3,1,378,163
0,2,1,379,22
0,3,1,385,79
2,3,1,385,161
0,2,1,387,26
0,2,1,387,47
0,3,1,390,91
0,2,1,390,61
0,2,1,392,61
0,3,1,396,99
1,3,1,397,127
0,2,1,398,45
0,3,1,398,70
0,3,1,398,107
0,2,1,406,53
0,2,1,406,37
0,2,1,407,81
0,2,1,407,102
0,3,1,408,93
0,3,1,409,310
1,3,1,410,97
0,3,1,410,134
0,2,1,411,46
0,3,1,412,180
0,2,1,413,120
0,2,1,413,43
2,1,1,414,134
0,2,1,417,47
0,3,1,419,181
2,3,1,419,223
0,2,1,420,82
0,3,1,421,106
0,2,1,422,72
0,2,1,422,40
0,3,1,423,96
1,1,1,423,65
0,2,1,425,56
0,2,1,428,58
1,3,1,430,58
0,2,1,431,125
0,2,1,431,67
1,3,1,432,47
1,3,1,433,149
1,3,1,433,196
0,2,1,434,99
0,2,1,435,24
0,2,1,435,18
1,3,1,436,141
2,3,1,437,135
0,2,1,440,94
0,2,1,440,109
0,3,1,440,133
1,3,1,442,113
0,2,1,443,129
1,3,1,444,52
0,3,1,445,113
0,2,1,446,97
0,3,1,446,100
0,2,1,446,75
0,2,1,447,103
0,2,1,450,34
0,3,1,450,95
0,3,1,450,178
0,2,1,451,68
0,2,1,453,89
0,2,1,457,54
2,3,1,459,236
0,3,1,460,94
0,2,1,462,46
0,2,1,464,61
0,2,1,465,50
1,3,1,465,110
0,3,1,466,104
0,2,1,468,60
2,1,1,468,180
